,index,PDE_DRUG_CD,TOTAL_52WEEK_DEMAND,TOTAL_COST,AVG_WEEKLY_DEMAND,STDDEVDEMAND,AVERAGE_LEAD_TIME,Order_Frequency,Max_Weekly_Demand,Demand_Category,COST_PER_UNIT,Fixed/Ordering Cost (10% of Total),Holding Cost (25% of total),ORDER_QTY_EOQ,SAFETY_STOCK,VOLATILITY_RATIO,NORM_VOLATILITY_RATIO,NORM_COST_PER_UNIT,REORDER_POINT,DEMAND_VOLATILITY,COST_CAT_TAG
35,35,288,2495.0,3830,47.075471698113205,46.122633755178434,6.4363636363636365,35.0,150.0,Med,1.535070140280561,383.0,957.5,45.0,193.0,0.9797593543184197,0.14506138279911013,0.17919395641796376,236.0,Low,Low
36,36,289,25192.0,21170,464.75471698113205,175.71790651342826,6.2727272727272725,52.0,860.0,High,0.8403461416322642,2117.0,5292.5,142.0,726.0,0.3780874084610141,0.5431250684305177,0.22517718638694018,1142.0,Low,Med
37,37,290,539404.0,1025250,10032.528301886792,8149.596415433799,7.890909090909091,52.0,38553.0,High,1.9007089305974743,102525.0,256312.5,657.0,37773.0,0.8123173112704924,0.046457178412153445,0.15499261514656099,49082.0,Low,Low
38,38,291,3435.0,4220,63.679245283018865,45.229151004953984,7.672727272727273,45.0,180.0,High,1.2285298398835516,422.0,1055.0,52.0,207.0,0.71026518615187,0.16318339493159756,0.19948361555647115,277.0,Low,Low
39,39,292,557612.0,1352280,10326.056603773584,1576.4338595345737,6.618181818181818,52.0,11752.0,High,2.425127149343988,135228.0,338070.0,668.0,6692.0,0.1526656225144531,0.8009602890495201,0.12028178955328846,16455.0,Med,Low
40,40,293,371.0,550,7.0,12.568373450092595,6.927272727272728,11.0,30.0,Low,1.482479784366577,55.0,137.5,17.0,55.0,1.7954819214417994,1.078076828378159,0.1826748703274418,62.0,High,Low
41,41,294,171227.0,388060,3174.0377358490564,556.2651412837293,6.3090909090909095,52.0,4020.0,High,2.2663481810695743,38806.0,97015.0,370.0,2305.0,0.17525473468730773,0.7751230848227019,0.13079124341785173,5166.0,Med,Low
42,42,295,1847633.0,3651120,34314.24528301887,13710.358671115644,7.0181818181818185,52.0,59660.0,High,1.9761067268229133,365112.0,912780.0,1216.0,59930.0,0.3995529716021615,0.5185729685304623,0.1500020948683871,94333.0,Low,Low
43,43,324,3611.0,7620,66.43396226415095,71.44229662482898,6.527272727272727,41.0,330.0,High,2.110218775962337,762.0,1905.0,54.0,301.0,1.0753881627707855,0.2544406729210205,0.14112532479971585,363.0,Low,Low
44,44,325,2934.0,2700,54.22641509433962,76.70846549922169,6.909090909090909,24.0,330.0,Med,0.9202453987730062,270.0,675.0,48.0,333.0,1.4145959190879436,0.6424231667978307,0.21988871798423415,387.0,Med,Med
45,45,326,66049.0,182960,1226.9811320754718,333.3895136094804,7.1454545454545455,52.0,1878.0,High,2.7700646489727325,18296.0,45740.0,230.0,1470.0,0.2717152732785247,0.6647924699521846,0.09745065027896771,2722.0,Med,Low
46,46,334,182.0,120,3.4339622641509435,13.866338086737583,6.927272727272728,2.0,60.0,Low,0.6593406593406593,12.0,30.0,12.0,60.0,4.037999552731274,3.6430464287103725,0.2371577955699461,63.0,High,Med
47,47,346,28.0,20,0.5283018867924528,2.062611833361356,7.6909090909090905,2.0,10.0,Low,0.7142857142857143,2.0,5.0,5.0,9.0,3.9042295417197095,3.4900416064100575,0.23352102600086205,10.0,High,Med
48,48,350,21872.0,26800,407.0188679245283,197.77698160158218,6.036363636363636,52.0,890.0,High,1.2253108997805413,2680.0,6700.0,132.0,802.0,0.4859160033786323,0.4197917825953503,0.19969667464655738,1153.0,Low,Low
49,49,356,1942588.0,3246000,35366.018867924526,8238.806167884863,6.745454545454545,52.0,68189.0,High,1.670966772161673,324600.0,811500.0,1247.0,35306.0,0.2329582585660245,0.7091223620119537,0.1701990662342981,69386.0,Med,Low
50,50,357,17062.0,74860,317.39622641509436,142.63318343734147,7.672727272727273,52.0,630.0,High,4.387527839643653,7486.0,18715.0,117.0,652.0,0.44938525277488395,0.46157529567393124,0.009607954300241844,1000.0,Low,Low
51,51,358,88472.0,250020,1642.301886792453,392.9520733317351,7.2,52.0,2620.0,High,2.825978840763179,25002.0,62505.0,266.0,1740.0,0.23926908718299164,0.7019040983383166,0.09374973431142937,3429.0,Med,Low
52,52,391,278.0,400,4.679245283018868,11.270946800910675,7.072727272727272,8.0,30.0,Low,1.4388489208633093,40.0,100.0,15.0,49.0,2.4087104050333297,1.779481533751937,0.18556276254668186,54.0,High,Low
53,53,392,379657.0,421360,7031.811320754717,1201.9633753261521,6.163636363636364,52.0,9026.0,High,1.1098438854018233,42136.0,105340.0,551.0,4924.0,0.1709322563559835,0.7800670930049547,0.20733934466564166,11116.0,Med,Med
54,54,410,1098.0,2600,20.71698113207547,34.36705311228535,7.8,18.0,120.0,Med,2.3679417122040074,260.0,650.0,30.0,158.0,1.6588832558753401,0.9218366188318702,0.12406684824134365,181.0,Med,Low
55,55,424,10095.0,21260,189.9056603773585,93.27063819705286,6.5636363636363635,52.0,410.0,High,2.105993065874195,2126.0,5315.0,90.0,394.0,0.49114195970628927,0.41381438517110075,0.14140502119590098,572.0,Low,Low
56,56,426,842707.0,907390,15627.22641509434,6263.620936698222,6.909090909090909,52.0,45196.0,High,1.0767562153868426,90739.0,226847.5,821.0,27166.0,0.4008146276455168,0.5171298987627473,0.20952939127752893,42590.0,Low,Med
57,57,427,171938.0,400100,3183.433962264151,595.5149971326694,6.527272727272727,52.0,4155.0,High,2.327001593597692,40010.0,100025.0,371.0,2510.0,0.1870668605637171,0.7616124914763897,0.1267766421918826,5478.0,Med,Low
58,58,429,753152.0,366480,13947.415094339623,2135.9779624436023,6.927272727272728,52.0,16782.0,High,0.48659500339904826,36648.0,91620.0,776.0,9276.0,0.15314507727747065,0.8004118934094075,0.24859169340384848,23079.0,Med,Med
59,59,437,1048985.0,1051310,19492.54716981132,22796.598688829105,6.072727272727272,52.0,133920.0,High,1.0022164282616053,105131.0,262827.5,916.0,92693.0,1.1695033230000267,0.3620886670995945,0.2144631206144847,109603.0,Low,Med
60,60,457,3799.0,1730,71.67924528301887,82.17747876014369,7.4363636363636365,31.0,300.0,Med,0.45538299552513817,173.0,432.5,55.0,370.0,1.1464612725158239,0.3357333964891619,0.25065759142759897,446.0,Low,Med
61,61,458,30617.0,59420,565.2264150943396,192.41302771771888,7.2727272727272725,52.0,950.0,High,1.9407518698762125,5942.0,14855.0,157.0,856.0,0.34041761421501154,0.5862114084189382,0.15234220478349517,1443.0,Low,Low
62,62,481,12277.0,52270,228.81132075471697,102.51832002087318,6.781818181818182,52.0,480.0,High,4.257554777225707,5227.0,13067.5,99.0,441.0,0.4480474116522041,0.4631055051857178,0.0010051404769609526,663.0,Low,Low
63,63,489,43406.0,233350,798.9811320754717,296.18461058935026,7.3090909090909095,52.0,1540.0,High,5.375984886881998,23335.0,58337.5,186.0,1321.0,0.37070288483529884,0.5515714138900195,0.0750331415775659,2155.0,Low,Low
64,64,491,27649.0,73540,514.2641509433962,204.3117753272837,6.872727272727273,52.0,993.0,High,2.6597706969510653,7354.0,18385.0,149.0,884.0,0.39728955431266644,0.5211618429541978,0.10475091940723645,1389.0,Low,Low
65,65,501,340561.0,651730,6310.566037735849,1024.4645324592482,7.218181818181818,52.0,7637.0,High,1.9136953438591031,65173.0,162932.5,522.0,4541.0,0.16234114758219265,0.7898935186840473,0.15413305476194278,11048.0,Med,Low
66,66,518,25724.0,107620,476.6981132075472,189.46909901849193,7.636363636363637,52.0,969.0,High,4.183641735344425,10762.0,26905.0,143.0,864.0,0.39746139908886097,0.5209652885901362,0.0038871050898345322,1384.0,Low,Low
67,67,528,4177.0,13600,78.81132075471699,67.77742636606843,7.4,37.0,240.0,Med,3.2559253052429975,1360.0,3400.0,58.0,304.0,0.859996073115065,0.008077320227434568,0.06529191913735972,387.0,Low,Low
68,68,529,1829.0,1650,32.81132075471698,41.63908101513246,6.945454545454545,29.0,150.0,Med,0.9021323127392018,165.0,412.5,38.0,181.0,1.2690461723990918,0.47594479874224077,0.22108760876987107,214.0,Low,Med
69,69,565,5956.0,6600,111.81132075471699,82.5640128169583,6.872727272727273,46.0,300.0,High,1.1081262592343855,660.0,1650.0,69.0,357.0,0.7384226593484289,0.1309771541584476,0.20745303297813944,467.0,Low,Med
70,70,581,16862.0,42420,311.35849056603774,117.31978314172797,6.6,52.0,570.0,High,2.5157158106986124,4242.0,10605.0,116.0,497.0,0.37679969134114544,0.5445979466011082,0.11428579797137071,791.0,Low,Low
71,71,597,271208.0,483250,5056.66037735849,6969.136527268589,7.4,52.0,33430.0,High,1.781842718503879,48325.0,120812.5,466.0,31281.0,1.3782093332732666,0.6008045479864104,0.16286027536396486,36627.0,Med,Low
72,72,598,105478.0,270100,1940.2830188679245,418.50202901289566,7.0,52.0,2643.0,High,2.5607235632074934,27010.0,67525.0,290.0,1827.0,0.2156912290337285,0.7288722204837066,0.11130677056188233,3767.0,Med,Low
73,73,599,6859.0,17290,128.28301886792454,75.04476418595814,7.963636363636364,49.0,330.0,High,2.520775623268698,1729.0,4322.5,74.0,349.0,0.5849937493536963,0.30646763167246643,0.11395089299405188,495.0,Low,Low
74,74,603,2829.0,396000,53.37735849056604,44.766234186833714,6.618181818181818,39.0,150.0,Med,139.97879109225875,39600.0,99000.0,48.0,190.0,0.8386745888660965,0.016309983653480534,8.984286030860323,240.0,Low,High
75,75,610,8491784.0,22247100,155410.35849056602,38175.23514164904,6.290909090909091,52.0,255035.0,High,2.6198381871229883,2224710.0,5561775.0,2606.0,157987.0,0.2456415100796928,0.6946153837336065,0.10739402053262663,297654.0,Med,Low
76,76,613,6260.0,7640,115.84905660377359,77.69117670498838,6.8545454545454545,50.0,300.0,High,1.220447284345048,764.0,1910.0,71.0,336.0,0.6706241637401277,0.20852440629913843,0.20001859349128723,449.0,Low,Med
77,77,614,1105.0,1320,19.71698113207547,25.25844746641601,8.4,25.0,90.0,Med,1.1945701357466063,132.0,330.0,30.0,121.0,1.2810504456651182,0.4896751683820698,0.20173138141463332,145.0,Low,Med
78,78,619,30292.0,2193000,557.9622641509434,206.62672231819596,6.709090909090909,52.0,960.0,High,72.39535190809454,219300.0,548250.0,156.0,883.0,0.370323829394846,0.5520049737729101,4.510991841878335,1418.0,Low,High
79,79,630,279115.0,573590,5148.169811320755,909.6402436217367,7.0181818181818185,52.0,6262.0,High,2.055031080379055,57359.0,143397.5,473.0,3976.0,0.17669196568097856,0.7734791941544706,0.14477815456002566,9138.0,Med,Low
80,80,631,91194.0,220760,1692.622641509434,394.8254291416086,7.454545454545454,52.0,2340.0,High,2.4207732964888042,22076.0,55190.0,270.0,1779.0,0.23326252376579,0.7087743464704264,0.1205699676174989,3582.0,Med,Low
81,81,634,353330.0,1015020,6544.528301886792,1069.4465577588094,6.654545454545454,52.0,7786.0,High,2.872725214388815,101502.0,253755.0,532.0,4552.0,0.16341079271526524,0.7886700691061295,0.09065562895041461,10774.0,Med,Low
82,82,645,2245.0,3300,42.35849056603774,56.65040153793708,7.527272727272727,25.0,240.0,Med,1.469933184855234,330.0,825.0,42.0,256.0,1.3374036888688932,0.5541314534435594,0.1835053197890715,302.0,Low,Low
83,83,649,604080.0,621950,11160.188679245282,2460.565167476006,6.7272727272727275,52.0,15045.0,High,1.0295821745464178,62195.0,155487.5,695.0,10530.0,0.22047702222561383,0.7233982773229546,0.2126518035919901,21255.0,Med,Med
84,84,660,58354.0,139460,1072.7169811320755,381.67690061622955,7.636363636363637,52.0,2020.0,High,2.3898961510779038,13946.0,34865.0,216.0,1740.0,0.3558039141073656,0.5686127100030021,0.12261370136065083,2910.0,Low,Low
85,85,675,21645.0,72410,401.60377358490564,174.8063888560874,7.509090909090909,52.0,845.0,High,3.3453453453453452,7241.0,18102.5,132.0,790.0,0.4352707826813546,0.47771928768075606,0.05937327766842875,1221.0,Low,Low
86,86,676,9892.0,23360,183.81132075471697,108.68303821318246,6.927272727272728,52.0,480.0,High,2.3615042458552367,2336.0,5840.0,89.0,472.0,0.5912749974644499,0.2992832018907648,0.1244929390286333,654.0,Low,Low
87,87,677,4427.0,11000,82.39622641509433,67.35949478274347,7.0181818181818185,47.0,270.0,High,2.484752654167608,1100.0,2750.0,60.0,294.0,0.8175070353756364,0.04052122304748981,0.11633522472228304,377.0,Low,Low
88,88,687,1916836.0,5167020,35580.03773584906,11538.568125030111,6.454545454545454,52.0,64854.0,High,2.6955983714830065,516702.0,1291755.0,1238.0,48369.0,0.32429892881772576,0.604647802168754,0.1023795140715041,81177.0,Med,Low
89,89,688,2082982.0,5596740,38599.188679245286,10797.985970812151,6.654545454545454,52.0,66867.0,High,2.686888316845753,559674.0,1399185.0,1291.0,45961.0,0.27974644909099367,0.6556064900845208,0.10295602567353088,82655.0,Med,Low
90,90,698,234179.0,633900,4331.301886792453,781.9694091735932,6.709090909090909,52.0,5340.0,High,2.7069036933286075,63390.0,158475.0,433.0,3342.0,0.18053911493864513,0.7690788626894371,0.10163122379319064,7493.0,Med,Low
91,91,717,1031972.0,1491270,19229.283018867925,12132.763189947304,7.763636363636364,52.0,44877.0,High,1.4450682770462764,149127.0,372817.5,909.0,55780.0,0.6309524477871868,0.25390052463707824,0.1851511082981216,77107.0,Low,Low
92,92,740,4396.0,6090,81.81132075471699,64.92361797150659,7.090909090909091,46.0,270.0,High,1.3853503184713376,609.0,1522.5,59.0,285.0,0.7935774336923083,0.06789166598599271,0.18910379256953308,368.0,Low,Low
93,93,749,48606.0,79400,898.9245283018868,239.37731065275574,7.454545454545454,52.0,1395.0,High,1.6335431839690573,7940.0,19850.0,197.0,1078.0,0.2662930013768246,0.6709944111982826,0.17267610382832616,2035.0,Med,Low
94,94,754,818255.0,1542860,15151.67924528302,2341.0144071699387,5.909090909090909,52.0,17568.0,High,1.8855491258837405,154286.0,385715.0,809.0,9390.0,0.15450527755190813,0.7988561097198543,0.15599603058606318,22180.0,Med,Low
95,95,781,12232.0,18750,229.66037735849056,120.40258580886841,7.218181818181818,52.0,570.0,High,1.5328646173969915,1875.0,4687.5,99.0,534.0,0.5242636417901763,0.3759301311203589,0.17933993822678906,771.0,Low,Low
96,96,784,132335.0,434110,2438.2830188679245,610.2860806863653,6.5636363636363635,52.0,3490.0,High,3.2803868968904673,43411.0,108527.5,325.0,2580.0,0.2502933728217146,0.6892946289035351,0.06367282580486894,4866.0,Med,Low
97,97,794,2140400.0,5439210,39778.71698113208,17857.63761971591,6.090909090909091,52.0,91333.0,High,2.541211923005046,543921.0,1359802.5,1309.0,72719.0,0.44892442428915397,0.46210238676136445,0.11259823053770977,107332.0,Low,Low
98,98,800,41612.0,436900,779.4716981132076,394.4713452308621,7.163636363636364,52.0,1640.0,High,10.49937518023647,43690.0,109225.0,182.0,1742.0,0.5060752637789429,0.3967338189162666,0.4141462779288661,2540.0,Low,Med
99,99,808,2952748.0,6921400,54838.6037735849,18648.80216269732,7.3090909090909095,52.0,108857.0,High,2.3440537424798866,692140.0,1730350.0,1537.0,83189.0,0.3400670491118562,0.5866123813343725,0.12564797399409353,140449.0,Low,Low
100,100,811,246851.0,475500,4582.566037735849,774.526387824687,6.8545454545454545,52.0,5480.0,High,1.9262632114109322,47550.0,118875.0,444.0,3346.0,0.16901587046356337,0.7822590363314992,0.15330119758559677,7833.0,Med,Low
101,101,821,2177.0,2600,40.509433962264154,42.60030298150477,8.2,32.0,150.0,Med,1.1943040881947635,260.0,650.0,42.0,201.0,1.0516143726221483,0.22724844568271413,0.2017489908908899,248.0,Low,Med
102,102,822,4395.0,5220,81.79245283018868,67.6869644557407,7.236363636363636,45.0,300.0,High,1.1877133105802047,522.0,1305.0,59.0,300.0,0.8275453555142462,0.0290394912498533,0.20218522922915705,385.0,Low,Med
103,103,823,61807.0,154070,1150.3207547169811,313.696440326719,8.072727272727272,52.0,1740.0,High,2.4927597197728413,15407.0,38517.5,222.0,1471.0,0.2727034516593585,0.663662201243846,0.11580524340622299,2798.0,Med,Low
104,104,829,3281391.0,6426410,60967.03773584906,17604.45572752149,6.709090909090909,52.0,112825.0,High,1.9584407953822023,642641.0,1606602.5,1620.0,75238.0,0.2887536672487852,0.6453041225865176,0.15117138884647757,133671.0,Med,Low
105,105,865,644.0,1460,12.150943396226415,22.070087202512028,6.8,14.0,90.0,Low,2.267080745341615,146.0,365.0,23.0,95.0,1.8163270523806483,1.1019192840302678,0.1307427555702261,107.0,High,Low
106,106,887,1278.0,1260,24.11320754716981,34.168837176033115,6.9818181818181815,18.0,120.0,Med,0.9859154929577465,126.0,315.0,32.0,149.0,1.4170175041703874,0.6451929519867725,0.2155420665818691,173.0,Med,Med
107,107,905,979.0,1630,18.471698113207548,26.28296406154066,7.0,19.0,90.0,Med,1.664964249233912,163.0,407.5,28.0,115.0,1.422877523249903,0.6518955841474308,0.17059636846182777,133.0,Med,Low
108,108,944,1522.0,2140,28.71698113207547,34.198683674366755,7.527272727272727,22.0,120.0,Med,1.4060446780551905,214.0,535.0,35.0,155.0,1.1908871450337963,0.38654727232536235,0.18773404933674356,186.0,Low,Low
109,109,949,1097.0,1660,20.69811320754717,36.75611825547337,5.654545454545454,17.0,150.0,Med,1.5132178669097538,166.0,415.0,30.0,144.0,1.7758197516318035,1.055587432024914,0.18064034104511043,161.0,High,Low
